# Позиции робота для пробы с лазерной точкой, съёмка 11.08.2026 (папка laserdot_1).
#
# Извлечено из фотографий пульта 1.jpg ... 12.jpg (визуальное чтение, не OCR).
# Числа стоит выборочно сверить с картинками, прежде чем строить на них выводы.
#
# Система отсчёта: UFRAME 2, UTOOL 2 - те же, что в рабочих программах.
# Configuration у всех точек: F D T, 0, 0, 0.
# Единицы: x/y/z - мм, w/p/r - градусы.
#
# prog_line - строка программы TOR_XL_LEARN_V25, на которой стоял робот. Точки 1-7
# сняты в разных строках (23, 30, 51, 71, 72, 73, 53), точки 8-12 - все от строки 53,
# то есть отведены джогом от одного места.
#
# frames - какие камеры сняли эту точку (файлы posN_<вид>.raw в этой же папке).
#
# Замечания по снимкам:
#   поз. 2  - на пульте висит SRVO-003 Deadman switch released;
#   поз. 10, 11 - висит JOG-004 Illegal linear jogging;
#   ни то, ни другое на показанные координаты не влияет, но означает, что робот
#   в этот момент был остановлен по ошибке, а не доведён штатно.
#
# Выдержка камер на этой съёмке (приблизительно, со слов оператора; в начале сессии
# могла отличаться): top 50000, left 59515, back 17000.
#
pos,x,y,z,w,p,r,prog_line,frames
1,1041.863,881.294,-243.774,-106.015,-16.071,46.630,23,left
2,1110.951,905.406,-237.335,-116.026,-16.065,30.258,30,left
3,1279.377,881.078,-192.077,-105.661,-15.890,-47.714,51,back+left
4,1287.823,703.836,-201.116,-105.781,-13.988,-130.143,71,back
5,1279.700,692.113,-217.858,-105.527,-13.913,-134.520,72,back
6,1272.581,696.813,-284.462,-106.201,-13.334,-136.780,73,back
7,1293.262,855.597,-293.033,-106.927,-15.688,-56.663,53,back
8,1189.125,905.728,-290.864,-111.807,4.108,-7.982,53,left
9,1111.082,898.618,-289.673,-109.522,11.349,13.704,53,left
10,1119.344,687.217,-338.292,-119.321,-4.493,163.638,53,top
11,1237.697,657.086,-325.644,-116.537,-8.994,-152.237,53,back+top
12,1264.391,893.354,-311.818,-117.986,-0.015,-43.383,53,back+left
