view,point,u,v,X,Y,Z,status
back,7,2343.48,470.18,1226.644,752.286,-360.877,ok
back,8,1873.66,438.52,1223.703,809.812,-363.99,ok
back,19,2060.72,678.65,1279.280,784.260,-334.232,ok
back,14,986.42,1454.74,1225.749,918.025,-238.077,shift_too_big_kept_click
back,15,1144.08,1210.12,1235.804,900.005,-266.592,ok
back,16,1196.33,932.44,1228.72,893.215,-300.944,ok
back,20,2465.35,870.36,1285.463,736.207,-311.387,ok
back,21,2507.29,1118.55,1295.189,730.684,-282.432,ok
back,22,2362.43,1445.97,1310.548,747.096,-244.73,ok
back,23,1941.57,1475.58,1316.963,797.846,-241.005,ok
back,24,1639.24,1179.25,1299.583,835.686,-274.401,ok
back,25,1752.78,846.14,1288.529,822.828,-313.11,ok
back,26,2157.03,1034.48,1304.114,773.587,-292.2,ok
left,2,1892.74,339.18,1171.577,837.37,-365.751,ok
left,9,1225.65,909.56,1114.759,885.546,-320.31,ok
left,10,1255.13,1329.76,1118.11,901.013,-285.811,ok
left,11,1377.8,1620.88,1126.294,907.547,-263.685,ok
left,12,1702.73,1895.52,1150.155,921.939,-241.746,ok
left,13,2047.84,2009.39,1176.027,926.048,-232.774,ok
left,14,2653.38,1896.66,1225.749,918.025,-238.077,ok
left,15,2747.24,1494.13,1235.804,900.005,-266.592,ok
left,16,2630.43,1072.93,1228.72,893.215,-300.944,ok
left,17,2161.16,782.01,1191.935,890.216,-326.594,ok
left,18,1957.17,1319.36,1173.406,907.359,-283.984,ok
left,24,3484.37,1343.24,1299.583,835.686,-274.401,ok
left,25,3318.31,865.24,1288.529,822.828,-313.11,ok
top,1,2076.12,1578.93,1174.497,787.803,-371.53,ok
top,2,2003.7,2116.33,1171.577,837.37,-365.751,ok
top,3,1431.84,1983.55,1117.57,829.012,-360.068,ok
top,4,1199.3,1476.57,1092.539,782.984,-355.546,ok
top,5,1503.39,1007.67,1117.806,737.851,-358.125,ok
top,6,2130.67,866.11,1176.086,720.294,-359.333,ok
top,7,2641.61,1233.28,1226.644,752.286,-360.877,ok
top,8,2573.56,1836.82,1223.703,809.812,-363.99,ok
top,9,1368.27,2524.99,1114.759,885.546,-320.31,ok
top,19,3114.93,1614.01,1279.280,784.260,-334.232,ok
top,17,2148.38,2628.23,1191.935,890.216,-326.594,ok
top,20,3175.39,1111.13,1285.463,736.207,-311.387,ok
top,25,3158.14,1991.32,1288.529,822.828,-313.11,ok
top,26,3318.68,1497.13,1304.114,773.587,-292.2,ok
