point,repeat_of,camera_view,also_visible,X,Y,Z,W,P,R,frame,tool,source_photo,note
1,,top,,1174.497,787.803,-371.530,-178.679,0.919,88.048,2,2,1.jpg,"номер на фото не виден (нет красной цифры) - определён по порядку/координатам, ПРОВЕРИТЬ"
2,,top,"left (під кутом)",1171.577,837.370,-365.751,-178.668,-8.086,87.772,2,2,2.jpg,подтверждено: видна и на left
2,2,top,"left (під кутом)",1172.376,844.169,-364.405,-139.605,16.561,-26.456,2,2,2_1.jpg,повтор другим углом сопла
3,,top,,1117.570,829.012,-360.068,-164.335,-11.046,87.091,2,2,3.jpg,
4,,top,,1092.539,782.984,-355.546,-155.313,1.729,90.739,2,2,4.jpg,
5,,top,,1117.806,737.851,-358.125,157.208,4.009,-39.227,2,2,5.jpg,
5,5,top,,1113.165,736.574,-356.101,-134.175,-18.112,132.933,2,2,5_1.jpg,повтор другим углом сопла
6,,top,,1176.086,720.294,-359.333,160.637,-12.974,-34.137,2,2,6.jpg,
7,,top,"back (під кутом)",1226.644,752.286,-360.877,-179.644,-20.814,-34.418,2,2,7.jpg,подтверждено: видна и на back, но там под углом
8,,top,"back (під кутом)",1223.703,809.812,-363.990,-161.723,-10.173,-32.840,2,2,8.jpg,подтверждено: видна и на back, но там под углом
9,,left,,1114.759,885.546,-320.310,-123.637,23.194,5.323,2,2,9.jpg,
10,,left,,1118.110,901.013,-285.811,-102.337,1.450,10.378,2,2,10.jpg,
11,,left,,1126.294,907.547,-263.685,-102.519,1.250,9.498,2,2,11.jpg,
12,,left,,1150.155,921.939,-241.746,-96.381,0.904,6.799,2,2,12.jpg,
12,12,left,,1154.789,923.364,-246.508,-115.143,18.105,-25.055,2,2,12_1.jpg,повтор другим углом сопла
13,,left,,1176.027,926.048,-232.774,-99.682,0.444,2.693,2,2,13.jpg,"на top-фото у нижнего края виден непронумерованный след - возможно видна и с top, ПРОВЕРИТЬ"
14,,left,,1225.749,918.025,-238.077,-98.785,-3.529,-21.085,2,2,14jpg.jpg,
15,,left,,1235.804,900.005,-266.592,-98.332,-3.925,-24.203,2,2,15.jpg,
16,,left,,1228.720,893.215,-300.944,-112.708,-4.106,-25.491,2,2,16.jpg,
17,,left,,1191.935,890.216,-326.594,-125.460,-2.676,-12.790,2,2,17.jpg,"на back-фото у верхнего края виден непронумерованный след около той же зоны - возможно видна и с back, ПРОВЕРИТЬ"
17,17,left,,1186.262,894.324,-323.203,-104.846,30.314,7.565,2,2,17_1.jpg,повтор другим углом сопла
18,,left,,1173.406,907.359,-283.984,-102.631,-0.606,-3.357,2,2,18.jpg,
19,,back,"top (під кутом)",1279.280,784.260,-334.232,-132.090,-15.692,-80.044,2,2,19.jpg,подтверждено: видна и на top
20,,back,,1285.463,736.207,-311.387,-123.059,-24.257,-92.866,2,2,20.jpg,
21,,back,,1295.189,730.684,-282.432,-115.156,-26.636,-98.191,2,2,21.jpg,
22,,back,,1310.548,747.096,-244.730,-107.007,-26.845,-98.697,2,2,22.jpg,
23,,back,,1316.963,797.846,-241.005,-105.763,-20.338,-78.731,2,2,23.jpg,
24,,back,,1299.583,835.686,-274.401,-109.919,-14.707,-59.624,2,2,24.jpg,
24,24,back,,1301.409,827.222,-277.464,-123.116,-27.879,-90.960,2,2,24_1.jpg,повтор другим углом сопла
25,,back,,1288.529,822.828,-313.110,-119.733,-14.709,-59.626,2,2,25.jpg,
26,,back,,1304.114,773.587,-292.200,-118.370,-23.137,-77.335,2,2,26.jpg,
26,26,back,,1303.735,769.623,-292.069,-119.606,-30.742,-96.273,2,2,26_1.jpg,повтор другим углом сопла
